date, location, source, tag
1908-04-01,Damascus,9B433A03-00C9-4863-A4CB-89F6C8E238FB,prices: falling
1908-04-01,Damascus,9B433A03-00C9-4863-A4CB-89F6C8E238FB,prices: high
1877-02-29,Bayrūt,9B57B2F2-8C54-4263-81A3-72574925A35D,prices: rising
1890-03-17,Bayrūt,9B59D87A-D595-4803-9985-BBD978A36F0A,prices: rising
1910-08-20,Bayrūt,9C671102-2818-4037-88D2-8E496A06E110,prices: high
1907-02-04,Bayrūt,9C9ADAB5-06DB-4D8D-B7BD-C60EA486F947,prices: low
1909-12-04,Bayrūt,9E3D0419-44E9-4488-8AB8-E6C3D3267085,prices: high
1909-10-04,Damascus,9E9E4C5E-97C6-43A2-B3BF-B3BF3D983C2B,prices: high
1880-05-31,Damascus,9F2EE388-8F36-49BB-89FD-DA807DC37828,prices: low
1882-11-16,Bayrūt,9FC6A354-DB60-426A-BA43-EB00A3EFE304,prices: falling
1908-09-21,Bayrūt,9FD033DE-4E12-4947-8158-093BBCAE322D,prices: high
1898-03-14,Bayrūt,A0D5B7ED-ED0C-4150-9D71-5FA89539E2EF,prices: falling
1879,London,A28712A3-602E-4DA7-85DE-88C99CC232FD,prices: high
1878-05-16,Bayrūt,A2B66BE9-03B9-4254-8B50-4ADE7553AEE2,prices: rising
1876-01-20,Bayrūt,A3C8EEDD-6F0B-495A-AEFA-281D90C5068E,prices: high
1876-01-20,Bayrūt,A3C8EEDD-6F0B-495A-AEFA-281D90C5068E,prices: rising
1910-07-05,Bayrūt,A45ADCDD-136F-48F2-B852-165AB05FBE24,prices: high
1910-07-05,Bayrūt,A45ADCDD-136F-48F2-B852-165AB05FBE24,prices: falling
1913-01-03,al-Quds,A5DE62FF-921F-48D5-B522-ECCAA39E9AC1,prices: high
1910-04-06,Dimashq,A681318D-D8B5-4E1C-ABD2-24C3E7038ACF,prices: high
1858-04-03,Bayrūt,A6A37DA4-5810-4073-91C0-494E64AB65FB,prices: rising
1877-12-22,Istanbul,A7E9CA66-63F0-470B-9482-43EB7481AE88,prices: high
1877-12-22,Istanbul,A7E9CA66-63F0-470B-9482-43EB7481AE88,prices: rising
1904-05-09,Bayrūt,A8110F55-E637-40D7-A381-51607D973F49,prices: falling
1904-05-09,Bayrūt,A8110F55-E637-40D7-A381-51607D973F49,prices: high
1858-03-06,Bayrūt,A93512CA-813C-4F30-B4A3-76B7F7A6AC20,prices: falling
1858-03-06,Bayrūt,A93512CA-813C-4F30-B4A3-76B7F7A6AC20,prices: rising
1879-01-02,Bayrūt,A955382C-FA4E-46DA-9D7C-F26AA03EC10E,prices: normal
1877-12-06,Bayrūt,A9818BC2-831C-4278-81C8-2131D128CEF2,prices: rising
1911-01-14,Dimashq,A9DCD0C2-3B03-47EB-9DF1-1DCD62669478,prices: rising
1911-10-14,Dimashq,AA2292A1-13D8-4EE7-9A9A-50B8DD4163F7,prices: falling
1877-11-12,Damascus,ADCF8624-D849-4C4A-80EB-E47002F5E14C,prices: high
1877-11-12,Damascus,ADCF8624-D849-4C4A-80EB-E47002F5E14C,prices: rising
1878-05-30,Bayrūt,ADFC2226-166F-4C97-BC09-148F7C7BB1C9,prices: rising
1859-04-02,Bayrūt,AE7F9CB6-3129-44B1-856E-169168FD2AFB,prices: falling
1904-05-05,Bayrūt,AEB2842B-388C-43AB-B4C9-A03A1BD806AB,prices: low
1904-05-05,Bayrūt,AEB2842B-388C-43AB-B4C9-A03A1BD806AB,prices: falling
1910-08-29,Dimashq,AF0A1C75-634F-4E57-AD8B-3CCA6A060214,prices: falling
1910-08-29,Dimashq,AF0A1C75-634F-4E57-AD8B-3CCA6A060214,prices: stable
1910-08-29,Dimashq,AF0A1C75-634F-4E57-AD8B-3CCA6A060214,prices: high
1859-01-01,Bayrūt,AF6A72C8-4297-4A40-AA72-81BB6468DD7A,prices: falling
1910-08-16,Bayrūt,AF97EEE3-811A-49F5-90AF-B6CF5F3DADDA,prices: high
1910-08-16,Bayrūt,AF97EEE3-811A-49F5-90AF-B6CF5F3DADDA,prices: rising
1901-09-18,Bayrūt,B012EFC5-9FF5-414F-8DDA-E6DE3C94CF05,prices: rising
1908-09-07,Bayrūt,B0AA7467-3973-4F5E-9BBF-912DB54FC3AE,prices: high
1910-08-27,Dimashq,B25250A4-E884-4869-ADAF-CC77FF71D062,prices: falling
1897-10-04,Bayrūt,B32D5377-2A8D-4B2D-AE8C-62762B33919B,prices: high
1893-07-24,Bayrūt,B3320E2E-92B1-410C-A1C5-A39F9B647584,prices: high
1904-05-13,Bayrūt,B3BE8C47-D3B3-4445-B05C-91378C595EF9,prices: high
1904-05-13,Bayrūt,B3BE8C47-D3B3-4445-B05C-91378C595EF9,prices: rising
1904-05-13,Bayrūt,B3BE8C47-D3B3-4445-B05C-91378C595EF9,prices: falling
1891-10-19,Bayrūt,B3EFCA00-D46B-4726-9EC0-385D07754FFA,prices: rising
1905-03-27,Bayrūt,B409AF6F-60CE-484E-9AC1-7D4298FFAA8E,prices: rising
1878-02-11,Bayrūt,B496B63D-3626-4B70-9226-22FE8CF89769,prices: rising
1878-02-11,Bayrūt,B496B63D-3626-4B70-9226-22FE8CF89769,prices: high
1883-03-31,Damascus,B4D15470-252C-4AE3-97F6-4E19863891F0,prices: falling
1883-03-31,Damascus,B4D15470-252C-4AE3-97F6-4E19863891F0,prices: low
1885-07-01,Damascus,B629C7D3-E20C-46CC-853C-8DBE17D83A11,prices: low
1911-03-24,al-Quds,B699A0FB-6B68-405E-B9C3-EE396474ABD3,prices: high
1913-02-18,Dimashq,B8F9B7C0-8469-417A-98D4-9D622BA6BF8A,prices: high
